timestamp,predicted_ghi,actual_ghi,mape,avg_mape_for_ghi
1/1/2025 0:00,0.0,0.0,0.0,
1/1/2025 1:00,0.0,0.0,0.0,
1/1/2025 2:00,0.0,0.0,0.0,
1/1/2025 3:00,0.0,0.0,0.0,
1/1/2025 4:00,0.0,0.0,0.0,
1/1/2025 5:00,0.0,0.0,0.0,
1/1/2025 6:00,0.0,2.6788888888000004,100.0,
1/1/2025 7:00,0.0,29.122695425695998,100.0,
1/1/2025 8:00,0.0,82.24238255164033,100.0,
1/1/2025 9:00,107.16219,144.94342205150912,26.066190668344234,
1/1/2025 10:00,163.08728,206.01784075938843,20.83827319406295,
1/1/2025 11:00,195.18292,264.5638603066374,26.22464680661281,
1/1/2025 12:00,251.01883,324.0799503621063,22.544165701941544,
1/1/2025 13:00,300.91125,375.4197765571377,19.846722609453487,
1/1/2025 14:00,310.80984,417.5214739365666,25.558357025266687,
1/1/2025 15:00,296.01392,436.2823274536415,32.15083504681293,
1/1/2025 16:00,302.8181,411.2387135933502,26.364394881894793,
1/1/2025 17:00,306.0095,383.2295475402821,20.149818057901307,
1/1/2025 18:00,278.5012,352.5711837370595,21.008521673952956,
1/1/2025 19:00,256.0124,324.3654890380947,21.072864164457496,
1/1/2025 20:00,239.74469,298.41624991504733,19.66098025504429,
1/1/2025 21:00,213.38655,274.5429499218435,22.2757127931834,
1/1/2025 22:00,177.73633,252.57951392809613,29.631534497450318,
1/1/2025 23:00,171.00038,232.40648614720834,26.421854955711783,
1/2/2025 0:00,137.86864,213.8139672554316,35.51934943508299,
1/2/2025 1:00,131.42203,196.70884987499716,33.18957043803288,
1/2/2025 2:00,121.26642,180.97214188499734,32.99166535029871,
1/2/2025 3:00,114.39606,166.49437053419751,31.29133630052099,
1/2/2025 4:00,118.188286,153.17482089146182,22.840917887291816,
1/2/2025 5:00,113.51889,140.92083522014482,19.444920828405866,
1/2/2025 6:00,119.81334,131.08716840253325,8.600253790299242,
1/2/2025 7:00,131.1574,124.98738447273062,4.936506162184086,
1/2/2025 8:00,142.37447,126.01133489091214,12.98544378220913,
1/2/2025 9:00,169.26025,149.42723969163927,13.272689942970567,
1/2/2025 10:00,237.16776,173.68766921230815,36.548412562926224,
1/2/2025 11:00,274.4603,221.80627269932344,23.738744306349158,
1/2/2025 12:00,290.17694,245.34478457937746,18.273123847100383,
1/2/2025 13:00,275.46115,251.61193865302732,9.478569497812105,
1/2/2025 14:00,258.64746,263.2777310327852,1.7587017622499201,
1/2/2025 15:00,274.2783,293.2619749421625,6.473285583984975,
1/2/2025 16:00,272.04987,299.15166021878935,9.059550087842322,
1/2/2025 17:00,262.25534,284.06098725728634,7.67639614705843,
1/2/2025 18:00,258.2618,261.3361082767033,1.1763770396067421,
1/2/2025 19:00,267.40894,240.42921961456716,11.221479641933334,
1/2/2025 20:00,258.73004,221.1948820454017,16.969271219756436,
1/2/2025 21:00,242.87155,203.49929148176955,19.347615289082952,
1/2/2025 22:00,212.34006,187.219348163228,13.41779546626627,
1/2/2025 23:00,198.33469,172.2418003101698,15.148985857172592,
1/3/2025 0:00,169.1618,158.4624562853562,6.751976565726935,
1/3/2025 1:00,152.8997,145.78545978252765,4.879940844290683,
1/3/2025 2:00,142.21628,134.1226229999255,6.034518931419093,
1/3/2025 3:00,127.11015,123.39281315993149,3.0126066041565878,
1/3/2025 4:00,112.0428,113.52138810713697,1.302474563138029,
1/3/2025 5:00,99.6187,104.43967705856602,4.616041598582692,
1/3/2025 6:00,109.96128,100.1060082698807,9.84483621233192,
1/3/2025 7:00,111.00084,103.9137438242903,6.820171373184136,
1/3/2025 8:00,120.64575,133.46784431834703,9.606877544705693,
1/3/2025 9:00,141.23788,176.25001331687923,19.865036113470634,
1/3/2025 10:00,159.95584,230.3727930035289,30.566522644016004,
1/3/2025 11:00,221.33395,291.02043513124653,23.945562875128317,
1/3/2025 12:00,285.09894,319.45543988874704,10.75470867311908,
1/3/2025 13:00,293.72247,374.5099138176472,21.571509242463527,
1/3/2025 14:00,305.02118,399.0863564882355,23.57013106555289,
1/3/2025 15:00,314.11008,420.23194096917655,25.25316467380655,
1/3/2025 16:00,303.12408,401.58820050764257,24.518677568344657,
1/3/2025 17:00,298.45264,375.25344260383105,20.466382760454113,
1/3/2025 18:00,308.39896,345.2631671955247,10.677133965993006,
1/3/2025 19:00,292.11566,317.66878048652256,8.04395031400101,
1/3/2025 20:00,299.55115,292.25527804760094,2.4964029604790405,
1/3/2025 21:00,274.29327,268.8748558037929,2.015219350202959,
1/3/2025 22:00,269.31485,247.36486733948936,8.873524664236813,
1/3/2025 23:00,238.51733,227.57567795233027,4.807919778816019,
1/4/2025 0:00,211.0525,209.36962371614376,0.803785070226755,
1/4/2025 1:00,176.60333,192.62005381885228,8.31518888183045,
1/4/2025 2:00,170.98758,177.2104495133442,3.5115706690719075,
1/4/2025 3:00,167.5051,163.03361355227662,2.742675443329039,
1/4/2025 4:00,147.89111,149.9909244680945,1.3999588270363443,
1/4/2025 5:00,144.88472,137.991650510647,4.995280013303395,
1/4/2025 6:00,144.2453,128.03231846979523,12.663194744066445,
1/4/2025 7:00,150.3664,122.0280663258116,23.222795026100467,
1/4/2025 8:00,170.33301,118.82582101974667,43.346796471276875,
1/4/2025 9:00,204.01917,123.84966188216697,64.7313056317993,
1/4/2025 10:00,219.57101,133.34807548359368,64.66005497867987,
1/4/2025 11:00,291.41513,145.43137131690617,100.37982725213968,
1/4/2025 12:00,358.16534,155.4725137875536,130.3721317117819,
